No.,시설명,설치장소,주소,X,Y
1,제주보육원 놀이시설,아동복지시설,제주특별자치도 제주시 도근내길 42,126.4356579,33.49149278
2,서귀포 향토 오일시장 실내 놀이터(소꿉놀이 키즈카페),대규모점포,제주특별자치도 서귀포시 토평서로11번길 142 ,126.5730641,33.26710477
3,도두해수파크 놀이터,목욕장업소,제주특별자치도 제주시 서해안로 236,126.4713759,33.50833936
4,밤비니어학원,학원,제주특별자치도 제주시 고사마루길 71 ,126.4730982,33.47471777
5,한국외국어대학교키즈클럽외대어학원 놀이터,학원,제주특별자치도 제주시 월산북길 64-8 ,126.4613427,33.47418913
6,흙한우 명품관 실내 어린이놀이시설,식품접객업소,제주특별자치도 서귀포시 일주동로 8421 ,126.5884797,33.2573024
7,제주돌담촌,식품접객업소,제주 제주시 도남동134번지,126.5289768,33.48849482
8,네버랜드에너키즈,식품접객업소,제주특별자치도 제주시 신설로2길 13,126.5424254,33.49485661
9,어린왕자,식품접객업소,제주특별자치도 제주시 과원북4길 19,126.4842583,33.48130144
10,벨롱벨롱 실내어린이놀이시설,놀이제공영업소,제주특별자치도 제주시 우정로 91 ,126.4311515,33.48460204
11,멜리오에코피아,놀이제공영업소,제주특별자치도 제주시 애월읍 평화로 2157,126.3933238,33.41199768
12,에코피아테마파크 놀이터,놀이제공영업소,제주특별자치도 제주시 애월읍 평화로 2157,126.3933238,33.41199768
13,동마키즈카페 실내놀이시설,놀이제공영업소,제주특별자치도 제주시 달마루길 18 ,126.474267,33.48951772
14,노리파크화북삼양점,놀이제공영업소,제주특별자치도 제주시 일주동로 224 ,126.5694989,33.51872901
15,어린이나라방방 동홍휴게점,놀이제공영업소,제주특별자치도 서귀포시 동홍중앙로52번길 14-1 ,126.5736487,33.25510624
16,놀멍뛰멍키즈카페,놀이제공영업소,제주특별자치도 제주시 한림읍 한림상로 196,126.2692867,33.41574403
17,키즈팡팡 제주연동점,놀이제공영업소,제주특별자치도 제주시 과원북4길 61 ,126.488229,33.48119177
18,점프노리 아라점 실내놀이기구,놀이제공영업소,제주특별자치도 제주시 아란7길 26,126.5427589,33.47452709
19,블럭아놀자 놀이시설,놀이제공영업소,제주특별자치도 서귀포시 남원광지로 18,126.7124976,33.27896821
20,노루생태관찰원 어린이놀이터,도시공원,제주특별자치도 제주시 명림로 520 ,126.6256939,33.44483825
21,절물자연휴양림 어린이놀이터,도시공원,제주특별자치도 제주시 명림로 584,126.6227787,33.43019644
22,서홍 생태놀이터 아이뜨락,도시공원,제주 서귀포시 서홍동1614-8,126.5535976,33.26446635
23,117호 어린이공원,도시공원,제주특별자치도 제주시 아란12길 25-7,126.545228,33.46938817
24,119호 어린이공원,도시공원,제주특별자치도 제주시 인다8길 38,126.5488721,33.47610938
25,명신마을소공원놀이터,도시공원,제주특별자치도 제주시 명신1길 32-1,126.4997895,33.50075849
26,아주호텔제주 어린이 놀이터,도시공원,제주특별자치도 서귀포시 중문관광로72번길 114,126.4056099,33.2453786
27,노형택지2어린이공원,도시공원,제주특별자치도 제주시 노형7길 6,126.4763636,33.48088949
28,노형택지1어린이공원,도시공원,제주특별자치도 제주시 노형11길 25,126.4777078,33.48278852
29,방일리공원,도시공원,제주특별자치도 제주시 노형2길 51-1,126.4759163,33.47836316
30,121호어린이공원,도시공원,제주특별자치도 제주시 인다14길 12-7,126.5469203,33.47080088
31,114호어린이공원,도시공원,제주특별자치도 제주시 아란9길 14,126.5441452,33.47277414
32,한마음근린공원,도시공원,제주특별자치도 제주시 신설로5길 5-23,126.5453391,33.49532721
33,바다어린이공원,도시공원,서귀포시 강정동 199-1,126.5039281,33.25313299
34,숲속어린이공원,도시공원,제주 서귀포시 강정동191-1,126.5037669,33.25127501
35,송이마당어린이공원,도시공원,제주특별자치도 서귀포시 서호남로 92-15,126.5236821,33.24952305
36,오름어린이공원,도시공원,제주특별자치도 서귀포시 서호로 7-24,126.5225979,33.25352205
37,바당어린이공원,도시공원,제주특별자치도 서귀포시 서호남로 92-27,126.5065393,33.23160376
38,제주영어교육도시 3호 어린이공원 놀이터,도시공원,제주특별자치도 서귀포시 대정읍 신화역사로 210,126.1958231,33.1630952
39,제주영어교육도시 2호 어린이공원 놀이터,도시공원,제주특별자치도 서귀포시 대정읍 신화역사로 210,126.1958231,33.1630952
40,제주영어교육도시 1호 어린이공원 놀이터,도시공원,제주특별자치도 서귀포시 대정읍 신화역사로 210,126.1958231,33.1630952
41,칠십리 시공원,도시공원,제주특별자치도 서귀포시 남성중로 114-1,126.5567285,33.24393872
42,월라봉공원,도시공원,제주특별자치도 서귀포시 월라봉로 76-40,126.6048892,33.27129505
43,사계어린이공원,도시공원,제주특별자치도 서귀포시 안덕면 사계신항로 3-8,126.3215616,33.24959889
44,삼화제5근린공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 화삼북로 136,126.5881422,33.51636757
45,109호 어린이공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 화삼로 104,126.5830551,33.5133121
46,108호 어린이공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 연삼로 874,126.5792202,33.51175733
47,107호어린이공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 건주로 45,126.5809471,33.51520728
48,하귀2호 어린이공원,도시공원,제주특별자치도 제주시 애월읍 하광로 48-3,126.414043,33.48157378
49,99호 어린이공원,도시공원,제주 제주시 이도2동제주특별자치도 제주시 구남로2길 27,126.5343945,33.48749663
50,100호 어린이공원,도시공원,제주 제주시 이도2동제주특별자치도 제주시 구남로 31,126.5328725,33.49038495
51,48호어린이공원,도시공원,제주 제주시 노형동제주특별자치도 제주시 다랑곶2길 45,126.475899,33.49010169
52,도남근린공원,도시공원,제주 제주시 도남동제주특별자치도 제주시 독짓골8길 23,126.5325946,33.49202478
53,이도근린공원,도시공원,제주특별자치도 제주시 이도공원동길 6,126.5441779,33.49718018
54,106호어린이공원,도시공원,제주특별자치도 제주시 첨단로7길 23,126.5740595,33.44950299
55,문부공원,도시공원,제주특별자치도 서귀포시 일주동로 8593,126.570339,33.25382348
56,문화공원,도시공원,제주특별자치도 서귀포시 김정문화로 32,126.5079874,33.25068779
57,여명공원,도시공원,제주특별자치도 서귀포시 동홍중앙로66번길 14-6,126.5730644,33.25607797
58,양지공원,도시공원,제주특별자치도 서귀포시 동홍중앙로66번길 36-6,126.5758115,33.25610547
59,하모공원,도시공원,제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22,126.2528133,33.21927008
60,희망공원,도시공원,제주특별자치도 서귀포시 동홍북로22번길 17,126.5708142,33.25757588
61,태양공원,도시공원,제주특별자치도 서귀포시 동홍북로48번길 10,126.5731719,33.25824223
62,대청공원,도시공원,제주특별자치도 서귀포시 신서로 38 ,126.5053223,33.25327382
63,신학공원,도시공원,제주특별자치도 서귀포시 신동로27번길 6-7 ,126.5119634,33.25160517
64,미래2공원,도시공원,제주특별자치도 서귀포시 신동로67번길 40,126.5111821,33.25699375
65,미래1공원,도시공원,제주특별자치도 서귀포시 신서귀로76번길 46,126.513402,33.25918442
66,문화2공원,도시공원,제주특별자치도 서귀포시 신서로88번길 18,126.5077649,33.25780067
67,문화1공원,도시공원,제주특별자치도 서귀포시 신서로102번길 25-1,126.5084316,33.25946229
68,중앙공원,도시공원,제주특별자치도 서귀포시 중앙로62번길 18,126.5636505,33.25013045
69,천지동공원,도시공원,제주특별자치도 서귀포시 서문서로 43,126.5583979,33.25118472
70,제석공원,도시공원,제주특별자치도 서귀포시 태평로 438,126.5670635,33.24568845
71,노형제1근린공원,도시공원,제주특별자치도 제주시 정존5길 67,126.4702642,33.48602048
72,삼무공원,도시공원,제주특별자치도 제주시 신대로10길 48-9,126.4915138,33.49162766
73,신산공원,도시공원,제주특별자치도 제주시 신산로 92-12,126.5336747,33.50523706
74,샘물공원,도시공원,제주특별자치도 제주시 조천읍 신북로 621,126.6758494,33.54039592
75,함덕2호어린이공원,도시공원,제주특별자치도 제주시 조천읍 함와로 10,126.6741637,33.53917432
76,함덕1호어린이공원,도시공원,제주특별자치도 제주시 조천읍 함덕24길 14-4,126.6758306,33.53967461
77,세화어린이공원,도시공원,제주특별자치도 제주시 구좌읍 세평항로 36,126.8549202,33.52640409
78,102호어린이공원,도시공원,제주특별자치도 제주시 구남로2길 47,126.5358433,33.48618578
79,101호어린이공원,도시공원,제주특별자치도 제주시 구남로6길 27-2,126.5360917,33.48802595
80,98호어린이공원,도시공원,제주특별자치도 제주시 복지로7길 8,126.5258466,33.48832954
81,97호어린이공원,도시공원,제주특별자치도 제주시 복지로북길 14,126.521755,33.48882763
82,96호어린이공원,도시공원,제주특별자치도 제주시 정존11길 54,126.4739299,33.4883262
83,95호어린이공원,도시공원,제주특별자치도 제주시 수덕로 44,126.4714066,33.48746792
84,94호어린이공원,도시공원,제주특별자치도 제주시 수덕로 78,126.469293,33.48471803
85,93호어린이공원,도시공원,제주특별자치도 제주시 광평동로 4,126.4719831,33.48115931
86,92호어린이공원,도시공원,제주특별자치도 제주시 정존5길 27,126.4727372,33.48452544
87,91호어린이공원,도시공원,제주특별자치도 제주시 정존1길 10,126.4723978,33.4819635
88,90호어린이공원,도시공원,제주특별자치도 제주시 정존3길 23,126.4721516,33.48352218
89,89호어린이공원,도시공원,제주특별자치도 제주시 수덕11길 66,126.4706851,33.48404783
90,88호어린이공원,도시공원,제주특별자치도 제주시 동화로1길 44,126.5758382,33.51884118
91,87호어린이공원,도시공원,제주특별자치도 제주시 동화로1길 33,126.5766953,33.51964654
92,86호어린이공원,도시공원,제주특별자치도 제주시 동화로1길 10,126.5743663,33.51828613
93,80호어린이공원,도시공원,제주특별자치도 제주시 진남로8길 2,126.5676453,33.5191733
94,79호어린이공원,도시공원,제주특별자치도 제주시 진남로6길 31,126.5653407,33.52153634
95,78호어린이공원,도시공원,제주특별자치도 제주시 우정로15길 12,126.4330215,33.48493523
96,77호어린이공원,도시공원,제주특별자치도 제주시 절물3길 20,126.4333816,33.49074305
97,76호어린이공원,도시공원,제주특별자치도 제주시 우령2길 9,126.4317398,33.48840942
98,75호어린이공원,도시공원,제주특별자치도 제주시 우령안2길 1,126.4283827,33.48841194
99,74호어린이공원,도시공원,제주특별자치도 제주시 절물3길 14,126.4335726,33.49115865
100,73호어린이공원,도시공원,제주특별자치도 제주시 우령6길 16-8,126.4279638,33.48993366
101,72호어린이공원,도시공원,제주특별자치도 제주시 우정로4길 3-7,126.4304661,33.49065749
102,71호어린이공원,도시공원,제주특별자치도 제주시 우정로4길 32,126.4274053,33.49140966
103,70호어린이공원,도시공원,제주특별자치도 제주시 우령4길 37,126.430435,33.48557244
104,69호어린이공원,도시공원,제주특별자치도 제주시 우정로12길 30,126.4279061,33.48727374
105,68호어린이공원,도시공원,제주특별자치도 제주시 국기로2길 18,126.4917336,33.4798539
106,67호어린이공원,도시공원,제주특별자치도 제주시 연화로2길 17-6,126.4893132,33.4779686
107,66호어린이공원,도시공원,제주특별자치도 제주시 연화로 42,126.4864829,33.47810109
108,65호어린이공원,도시공원,제주특별자치도 제주시 진군길 48,126.4806752,33.47777022
109,56호어린이공원,도시공원,제주특별자치도 제주시 도련안길 39,126.5854974,33.50901078
110,53호어린이공원,도시공원,제주특별자치도 제주시 수덕1길 20,126.4769052,33.48563412
111,52호어린이공원,도시공원,제주특별자치도 제주시 수덕1길 20,126.4769052,33.48563412
112,51호어린이공원,도시공원,제주특별자치도 제주시 수덕11길 7,126.4756771,33.48765746
113,50호어린이공원,도시공원,제주특별자치도 제주시 다랑곶1길 16,126.478149,33.48812775
114,49호어린이공원,도시공원,제주특별자치도 제주시 다랑곶6길 22,126.4809835,33.48915851
115,47호어린이공원,도시공원,제주특별자치도 제주시 도령로7길 32,126.4835107,33.49118867
116,46호어린이공원,도시공원,제주특별자치도 제주시 도령로7길 32,126.4835107,33.49118867
117,45호어린이공원,도시공원,제주특별자치도 제주시 성신로2길 7,126.4863494,33.4915251
118,44호어린이공원,도시공원,제주특별자치도 제주시 도령로13길 16-2,126.4884838,33.492688
119,43호어린이공원,도시공원,제주특별자치도 제주시 도두항서5길 20,126.4651296,33.50378648
120,42호어린이공원,도시공원,제주특별자치도 제주시 태성로4길 23,126.54723,33.50001339
121,41호어린이공원,도시공원,제주특별자치도 제주시 연수로1길 27,126.5454214,33.50217955
122,40호어린이공원,도시공원,제주특별자치도 제주시 정든로 16,126.5403675,33.49737338
123,39호어린이공원,도시공원,제주특별자치도 제주시 청귤로 15,126.5382567,33.49968255
124,38호어린이공원,도시공원,제주특별자치도 제주시 도남로17길 7,126.5297525,33.49030095
125,37호어린이공원,도시공원,제주특별자치도 제주시 신성로4길 2,126.5231139,33.49606359
126,36호어린이공원,도시공원,제주특별자치도 제주시 도남로10길 1-1,126.5276471,33.49357466
127,35호어린이공원,도시공원,제주특별자치도 제주시 신성로8길 20,126.5293084,33.49479816
128,34호어린이공원,도시공원,제주특별자치도 제주시 고산동산서길 8,126.5310957,33.49460663
129,33호어린이공원,도시공원,제주특별자치도 제주시 남광북3길 14-5,126.5365312,33.49435673
130,32호어린이공원,도시공원,제주특별자치도 제주시 고산동산5길 21-1,126.5346474,33.49648638
131,31호어린이공원,도시공원,제주특별자치도 제주시 남광북3길 32-5,126.537979,33.49527277
132,30호어린이공원,도시공원,제주특별자치도 제주시 오복7길 14,126.5358411,33.49861862
133,29호어린이공원,도시공원,제주특별자치도 제주시 설촌로12길 12,126.5817211,33.52428884
134,28호어린이공원,도시공원,제주특별자치도 제주시 지석10길 13-5,126.5835817,33.52017493
135,27호어린이공원,도시공원,제주특별자치도 제주시 설촌로4길 20,126.5835286,33.5222574
136,26호어린이공원,도시공원,제주특별자치도 제주시 선사로 33,126.5858868,33.52431195
137,23호어린이공원,도시공원,제주특별자치도 제주시 선사로4길 52,126.5906135,33.5263383
138,22호어린이공원,도시공원,제주특별자치도 제주시 선사로6길 86,126.5933577,33.52879069
139,21호어린이공원,도시공원,제주특별자치도 제주시 지석4길 11-6,126.5804712,33.52011928
140,20호어린이공원,도시공원,제주특별자치도 제주시 가령골길 56,126.5383667,33.50326225
141,19호어린이공원,도시공원,제주특별자치도 제주시 천수로 41,126.5413153,33.5032913
142,17호어린이공원,도시공원,제주특별자치도 제주시 천수로15길 19,126.5440344,33.50806175
143,16호어린이공원,도시공원,제주특별자치도 제주시 신산로13길 13,126.536196,33.5066801
144,15호어린이공원,도시공원,제주특별자치도 제주시 동광로19길 7,126.541059,33.50900637
145,14호어린이공원,도시공원,제주특별자치도 제주시 삼성로18길 22,126.5373425,33.50965062
146,13호어린이공원,도시공원,제주특별자치도 제주시 고마로5길 36,126.5421119,33.51137244
147,12호어린이공원,도시공원,제주특별자치도 제주시 사라봉5길 20,126.5402011,33.51651334
148,10호어린이공원,도시공원,제주특별자치도 제주시 원노형7길 1,126.4833402,33.48730214
149,9호어린이공원,도시공원,제주특별자치도 제주시 연동6길 28,126.488958,33.48346679
150,8호어린이공원,도시공원,제주특별자치도 제주시 연동1길 32,126.486515,33.48718918
151,7호어린이공원,도시공원,제주특별자치도 제주시 신대로20길 23,126.4940685,33.48349689
152,6호어린이공원,도시공원,제주특별자치도 제주시 신대로16길 24,126.49407,33.48691389
153,4호어린이공원,도시공원,제주특별자치도 제주시 도남로 9-3,126.5255937,33.49912052
154,3호어린이공원,도시공원,제주특별자치도 제주시 서광로19길 28-16,126.5214764,33.50223308
155,2호어린이공원,도시공원,제주특별자치도 제주시 서사로20길 36,126.5162082,33.50134698
156,1호어린이공원,도시공원,제주특별자치도 제주시 서사로10길 11 ,126.5187538,33.50609026
157,동홍동공원,도시공원,제주특별자치도 서귀포시 중산간동로 8002 ,126.5611155,33.26557523
158,동홍공원,도시공원,제주특별자치도 서귀포시 태평로536번길 6,126.574698,33.2511878
159,송당초등학교 놀이시설(체육공원),학교,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,126.781183,33.47089121
160,영지학교놀이시설 정글짐,학교,제주특별자치도 제주시 간월동로3길 15,126.5426429,33.48832994
161,도련초등학교 놀이시설,학교,제주특별자치도 제주시 화삼로 104,126.5830551,33.5133121
162,삼화초등학교 어린이놀이터,학교,제주특별자치도 제주시 화삼로 21,126.5753867,33.51434073
163,김녕초등학교 놀이터,학교,제주특별자치도 제주시 구좌읍 김녕로 117,126.7508488,33.55523103
164,이도초등학교 운동장 놀이터,학교,제주특별자치도 제주시 구남동2길 58,126.532089,33.48801983
165,노형초등학교 놀이시설,학교,제주특별자치도 제주시 노형로 383,126.4761791,33.48471142
166,제주영송학교 놀이시설,학교,제주 제주시 애월읍광령중길126-3번지,126.434208,33.44988717
167,애월초등학교 더럭분교장 놀이시설,학교,제주특별자치시 제주시 하가로 195,126.3455491,33.45335272
168,우도초등학교 놀이시설,학교,제주특별자치시 제주시 우도로 156-11,126.9553026,33.5055213
169,신산초등학교 놀이시설,학교,제주특별자치도 서귀포시 성산읍 일주동로 5104,126.8755314,33.38151273
170,무릉초등학교 놀이시설,학교,제주특별자치도 서귀포시 대정읍 서삼중로 106,126.2015392,33.27226184
171,하례초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 일주동로 8002,126.6309465,33.26444226
172,위미초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 태위로 57,126.6533614,33.2738571
173,의귀초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 한신로 213,126.7142183,33.310574
174,태흥초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 태위로 915,126.742962,33.28605026
175,성산초등학교 놀이시설,학교,제주특별자치도 서귀포시 성산읍 한도로 217,126.9317533,33.46792247
176,도순초등학교 놀이시설,학교,제주특별자치도 서귀포시 도순남로 83,126.4774913,33.24701935
177,서호초등학교 놀이시설,학교,제주특별자치도 서귀포시 호근남로 40,126.5292612,33.2536558
178,동홍초등학교 놀이시설,학교,제주특별자치도 서귀포시 동홍북로 17,126.570147,33.26013416
179,서귀북초등학교 놀이시설,학교,제주특별자치도 서귀포시 중앙로 175,126.558793,33.26004905
180,김녕초등학교 동복분교장 놀이시설,학교,제주특별자치도 제주시 구좌읍 동복로 66-5,126.7135144,33.55217418
181,한림초등학교 비양분교장 놀이시설,학교,제주특별자치도 제주시 한림읍 비양도길 270,126.2312296,33.40716457
182,함덕초등학교선인분교장 놀이시설,학교,제주특별자치도 제주시 조천읍 선진길 7-18,126.7041538,33.45913501
183,함덕초등학교선흘분교장 놀이시설,학교,제주특별자치도 제주시 조천읍 선흘동1길 41,126.7048558,33.51484606
184,세화초등학교 놀이시설,학교,제주특별자치도 제주시 구좌읍 구좌로 65,126.8587269,33.52235142
185,도남초등학교 놀이시설,학교,제주특별자치도 제주시 도남로8길 22,126.5257325,33.49344108
186,수원초등학교 놀이시설,학교,제주특별자치도 제주시 한림읍 한림로 822,126.2701726,33.42546826
187,일도초등학교 놀이시설,학교,제주특별자치도 제주시 삼성로9길 27,126.5293678,33.5095663
188,광양초등학교 놀이시설,학교,제주특별자치도 제주시 돈내길 5,126.529784,33.50231918
189,인화초등학교 놀이시설,학교,제주시 신산로 15길 35,126.5378925,33.50742578
190,동남초등학교 놀이시설,학교,제주특별자치도 서귀포시 성산읍 고성오조로 55,126.9140014,33.448752
191,아라초등학교 놀이시설,학교,제주특별자치도 제주시 중앙로 518,126.5437561,33.47719047
192,구엄초등학교 놀이시설,학교,제주특별자치도 제주시 애월읍 일주서로 6768,126.374833,33.47321301
193,하귀초등학교 놀이시설,학교,제주특별자치시 제주시 하귀로 44,126.401933,33.47935187
194,종달초등학교 놀이시설,학교,제주특별자치도 제주시 구좌읍 종달로7길 5,126.897138,33.4924122
195,귀덕초등학교 놀이시설,학교,제주특별자치도 제주시 한림읍 귀덕14길 14-5,126.2933931,33.44180459
196,도평초등학교 놀이시설,학교,제주특별자치도 제주시 도평길 17,126.447263,33.48051903
197,창천초등학교 놀이시설,학교,제주특별자치도 서귀포시 안덕면 창천중앙로 12,126.3692775,33.26332116
198,표선초등학교 놀이시설,학교,제주특별자치도 서귀포시 표선면 표선동서로 293,126.8349541,33.32960361
199,시흥초등학교 놀이시설,학교,제주특별자치시 서귀포시 시흥상동로 113,126.8954972,33.47913929
200,추자초등학교신양분교장 놀이시설,학교,제주특별자치도 제주시 추자면 추자로 553-10,126.3256565,33.94487405
201,추자초등학교 놀이시설,학교,제주특별자치도 제주시 추자면 대서3길 10,126.2955692,33.96384376
202,하원초등학교 놀이시설,학교,제주특별자치도 서귀포시 월평하원로 149 ,126.4595467,33.25279374
203,흥산초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 일주동로 6642,126.76535,33.299962
204,해안초등학교 놀이시설,학교,제주특별자치시 제주시 해안마을길 76,126.4541806,33.45666692
205,법환초등학교 놀이시설,학교,제주특별자치도 서귀포시 이어도로 879,126.5089302,33.23760905
